Destination,Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Burundi,Micronesia,0,0,0,0,0,0
Burundi,Belgium,605,718,288,343,317,375
Burundi,Democratic Republic of the Congo,175768,199585,89489,101757,86279,97828
Burundi,France,302,358,145,174,157,184
Burundi,Kenya,1032,1226,582,693,450,533
Burundi,Rwanda,64363,76567,29140,34728,35223,41839
Burundi,Uganda,891,1058,520,619,371,439
Burundi,United Republic of Tanzania,28008,33318,13037,15535,14971,17783
Burundi,Other,27330,31937,13769,16276,13561,15661
Comoros,Micronesia,0,0,0,0,0,0
Comoros,France,482,479,277,276,205,203
Comoros,Kenya,76,74,34,34,42,40
Comoros,Madagascar,9651,9605,4539,4519,5112,5086
Comoros,Réunion,850,845,455,453,395,392
Comoros,United Republic of Tanzania,145,143,71,71,74,72
Comoros,Other,1351,1350,695,691,656,659
Djibouti,Micronesia,0,0,0,0,0,0
Djibouti,Ethiopia,11676,12578,5185,5562,6491,7016
Djibouti,Somalia,88152,94976,47358,50876,40794,44100
Djibouti,Yemen,6157,5322,2974,2595,3183,2727
Djibouti,Other,6366,6862,3564,3830,2802,3032
Eritrea,Micronesia,0,0,0,0,0,0
Eritrea,Angola,346,301,202,178,144,123
Eritrea,Burundi,1044,913,559,496,485,417
Eritrea,China,135,117,122,106,13,11
Eritrea,Comoros,192,166,101,89,91,77
Eritrea,Democratic Republic of the Congo,1685,1474,922,818,763,656
Eritrea,Ethiopia,108,94,58,52,50,42
Eritrea,France,436,380,229,203,207,177
Eritrea,India,119,103,46,41,73,62
Eritrea,Kenya,351,305,203,179,148,126
Eritrea,Malawi,771,673,428,379,343,294
Eritrea,Mozambique,1105,966,456,408,649,558
Eritrea,Rwanda,467,407,220,196,247,211
Eritrea,Somalia,2485,2156,1296,1135,1189,1021
Eritrea,South Africa,122,106,69,61,53,45
Eritrea,Zimbabwe,324,282,229,202,95,80
Eritrea,South Sudan,1487,1300,971,856,516,444
Eritrea,Sudan,208,181,136,120,72,61
Eritrea,Uganda,1521,1331,998,881,523,450
Eritrea,United Kingdom,56,48,21,19,35,29
Eritrea,United Republic of Tanzania,525,459,271,242,254,217
Eritrea,Zambia,241,209,156,137,85,72
Eritrea,Other,2213,1963,1140,1017,1073,946
Ethiopia,Micronesia,0,0,0,0,0,0
Ethiopia,Burundi,180,166,90,81,90,85
Ethiopia,Democratic Republic of the Congo,1581,1468,798,721,783,747
Ethiopia,Eritrea,205821,191256,103940,93794,101881,97462
Ethiopia,Djibouti,3702,3439,1887,1704,1815,1735
Ethiopia,Rwanda,150,138,76,68,74,70
Ethiopia,Somalia,442461,411152,225596,203686,216865,207466
Ethiopia,South Sudan,394801,409890,209090,205655,185711,204235
Ethiopia,Sudan,39499,41959,19991,19609,19508,22350
Ethiopia,Uganda,218,202,111,101,107,101
Ethiopia,Yemen,1324,2053,676,1035,648,1018
Ethiopia,Other,71905,23794,29154,10353,42751,13441
Kenya,Micronesia,0,0,0,0,0,0
Kenya,Burundi,8312,15098,4156,7629,4156,7469
Kenya,Democratic Republic of the Congo,24738,43577,12369,22012,12369,21565
Kenya,Ethiopia,36889,32115,20032,17590,16857,14525
Kenya,Eritrea,2127,1851,1057,929,1070,922
Kenya,Mozambique,601,523,298,263,303,260
Kenya,Namibia,68,58,33,29,35,29
Kenya,Rwanda,6330,5510,3142,2765,3188,2745
Kenya,Somalia,488470,425284,250295,220021,238175,205263
Kenya,South Africa,112,96,54,47,58,49
Kenya,South Sudan,95765,121553,47883,61402,47882,60151
