Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Afghanistan,5401107,5854088,2903020,3226466,2498087,2627622
Albania,1143002,1250608,576306,642717,566696,607891
Algeria,1837346,2023250,986073,1086178,851273,937072
American Samoa,1984,1854,1004,936,980,918
Andorra,8753,11146,4213,5316,4540,5830
Angola,626082,676510,309894,338789,316188,337721
Anguilla,2553,2505,1350,1293,1203,1212
Antigua and Barbuda,52198,66570,23796,29952,28402,36618
Argentina,1195811,1382390,593606,683978,602205,698412
Armenia,945220,958894,507525,513828,437695,445066
Aruba,17111,21916,7458,9511,9653,12405
Australia,520635,601867,249637,289024,270998,312843
Austria,520723,606635,236460,284189,284263,322446
Azerbaijan,1130350,1163923,606730,623400,523620,540523
Bahamas,43039,53870,18153,22372,24886,31498
Bahrain,56764,58314,29861,23811,26903,34503
Bangladesh,6831734,7407548,4506104,4977697,2325630,2429851
Barbados,102076,99815,47250,46009,54826,53806
Belarus,1470202,1483948,623823,630175,846379,853773
Belgium,520753,583215,246915,280238,273838,302977
Belize,64037,53792,27082,22614,36955,31178
Benin,634956,681860,341158,365360,293798,316500
Bermuda,16225,21107,8007,10312,8218,10795
Bhutan,51391,51998,26218,26295,25173,25703
Bolivia (Plurinational State of),1363893,1562287,660483,747284,703410,815003
"Bonaire, Sint Eustatius and Saba",7367,8216,3281,3690,4086,4526
Bosnia and Herzegovina,1593546,1687757,763207,820793,830339,866964
Botswana,55294,63561,32477,39730,22817,23831
Brazil,1730213,2150824,749319,928352,980894,1222472
British Virgin Islands,5118,5355,2245,2343,2873,3012
Brunei Darussalam,45278,45521,26012,25843,19266,19678
Bulgaria,1180629,1684159,497229,693430,683400,990729
Burkina Faso,1518609,1599389,848856,894354,669753,705035
Burundi,460004,551132,227751,274940,232253,276192
Cabo Verde,172979,189239,77361,85782,95618,103457
Cambodia,1074625,1104874,505749,513037,568876,591837
Cameroon,349195,441249,172006,219528,177189,221721
Canada,1278025,1310438,487597,510029,790428,800409
Cayman Islands,1709,1908,796,863,913,1045
Central African Republic,686303,816752,348130,409545,338173,407207
Chad,191269,222303,104493,119894,86776,102409
Channel Islands,16469,17158,8292,8836,8177,8322
Chile,896925,936522,425559,449429,471366,487093
China,10337633,10581696,4826183,4841601,5511450,5740095
"China, Hong Kong SAR",957987,1008454,491402,516498,466585,491956
"China, Macao SAR",133296,145192,60363,64597,72933,80595
"China, Taiwan Province of China",0,0,0,0,0,0
Colombia,3967537,4353889,1850822,2023498,2116715,2330391
Comoros,121749,150823,59176,73002,62573,77821
Congo,204973,223914,102397,113568,102576,110346
Cook Islands,21555,21106,10691,10453,10864,10653
Costa Rica,142809,155571,61328,66816,81481,88755
Croatia,808519,1041926,376889,496766,431630,545160
Cuba,1530665,1818717,715717,857485,814948,961232
Curaçao,7125,8473,3562,4206,3563,4267
Cyprus,166650,173271,79139,83043,87511,90228
Czechia,822926,1029391,354777,437819,468149,591572
Côte d'Ivoire,1056773,1149723,521196,571531,535577,578192
Dem. People's Republic of Korea,104711,111294,55389,58712,49322,52582
Democratic Republic of the Congo,1574219,1836447,779731,919417,794488,917030
Denmark,238337,258801,112801,123185,125536,135616
Djibouti,16969,18365,8659,9293,8310,9072
Dominica,73056,78715,30575,32605,42481,46110
Dominican Republic,1472583,1662799,615307,685307,857276,977492
Ecuador,1217125,1241263,580897,587520,636228,653743
Egypt,3155260,3614975,2043879,2344373,1111381,1270602
El Salvador,1515596,1602046,754810,795705,760786,806341
Equatorial Guinea,117012,128844,62975,68773,54037,60071
Eritrea,624785,802847,326418,422895,298367,379952
Estonia,189447,206992,84217,91557,105230,115435
Eswatini,46236,50039,22566,24339,23670,25700
Ethiopia,842578,946207,452013,510301,390565,435906
Falkland Islands (Malvinas),1422,1572,604,667,818,905
Faroe Islands,13407,12927,5736,5511,7671,7416
Fiji,209275,234610,99704,111240,109571,123370
Finland,283209,312988,109269,124352,173940,188636
France,2183853,2414151,1059129,1178800,1124724,1235351
French Guiana,5410,5580,2361,2480,3049,3100
French Polynesia,1978,2157,1082,1187,896,970
Gabon,43111,48430,20672,23243,22439,25187
Gambia,96996,139244,60500,93444,36496,45800
