Destination,Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
WORLD,WORLD,247958644,280598105,128238058,145655844,119720586,134942261
WORLD,  Sub-Saharan Africa,24197211,28284538,12578348,14732802,11618863,13551736
WORLD,  Northern Africa and Western Asia,32606047,37563820,18177303,20941050,14428744,16622770
WORLD,  Central and Southern Asia,46481130,51229549,27971106,31211577,18510024,20017972
WORLD,  Eastern and South-Eastern Asia,35205590,38400740,17150433,18801912,18055157,19598828
WORLD,  Latin America and the Caribbean,36206000,42890481,17582139,20697275,18623861,22193206
WORLD,  Oceania (excluding Australia and New Zealand),495220,565281,240815,273803,254405,291478
WORLD,  Australia and New Zealand,1256202,1404924,622696,693842,633506,711082
WORLD,  Europe and Northern America,60592402,67601621,28229706,31770385,32362696,35831236
WORLD,  Developed regions,62613012,69815370,29203683,32827157,33409329,36988213
WORLD,  Less developed regions,174426790,198125584,93348863,106295489,81077927,91830095
WORLD," Less developed regions, excluding least developed countries",132944110,150520987,70333340,79492160,62610770,71028827
WORLD," Less developed regions, excluding China",163095388,186511434,88028326,100946274,75067062,85565160
WORLD,  Least developed countries,41482680,47604597,23015523,26803329,18467157,20801268
WORLD,  Land-locked Developing Countries (LLDC),31336289,35277768,16089640,18147434,15246649,17130334
WORLD,  Small island developing States (SIDS),10467162,11559408,4903522,5417850,5563640,6141558
WORLD,  High-income countries,47356719,52808019,22710503,25556460,24646216,27251559
WORLD,  Middle-income countries,157981964,177395834,82602967,92895832,75378997,84500002
WORLD, Upper-middle-income countries,77576140,87648518,37485261,42001984,40090879,45646534
WORLD, Lower-middle-income countries,80405824,89747316,45117706,50893848,35288118,38853468
WORLD,  Low-income countries,31399947,37419672,17088744,20512220,14311203,16907452
WORLD, AFRICA,35111959,40567163,18809167,21729832,16302792,18837331
WORLD,  Eastern Africa,9824290,12027289,5021946,6136440,4802344,5890849
WORLD,  Middle Africa,3816990,4420662,1910761,2223566,1906229,2197096
WORLD,  Northern Africa,10914748,12282625,6230819,6997030,4683929,5285595
WORLD,  Southern Africa,1129951,1278435,545606,628886,584345,649549
WORLD,  Western Africa,9425980,10558152,5100035,5743910,4325945,4814242
WORLD, ASIA,103378019,114911484,57068023,63957509,46309996,50953975
WORLD,  Central Asia,7428032,7835504,3640447,3807379,3787585,4028125
WORLD,  Eastern Asia,14417725,14820004,6820704,6898164,7597021,7921840
WORLD,  South-Eastern Asia,20787865,23580736,10329729,11903748,10458136,11676988
WORLD,  Southern Asia,39053098,43394045,24330659,27404198,14722439,15989847
WORLD,  Western Asia,21691299,25281195,11946484,13944020,9744815,11337175
WORLD, EUROPE,56577753,63273663,26369327,29748898,30208426,33524765
WORLD,  Eastern Europe,28822615,32194352,12864866,14468129,15957749,17726223
WORLD,  Northern Europe,7315147,7884780,3529209,3820591,3785938,4064189
WORLD,  Southern Europe,12045253,14017111,6004592,7109579,6040661,6907532
WORLD,  Western Europe,8394738,9177420,3970660,4350599,4424078,4826821
WORLD, LATIN AMERICA AND THE CARIBBEAN,36206000,42890481,17582139,20697275,18623861,22193206
WORLD,  Caribbean,8135307,9078772,3802917,4252967,4332390,4825805
WORLD,  Central America,16291222,16198974,8439482,8312535,7851740,7886439
WORLD,  South America,11779471,17612735,5339740,8131773,6439731,9480962
WORLD, NORTHERN AMERICA,4014649,4327958,1860379,2021487,2154270,2306471
WORLD, OCEANIA ,1751422,1970205,863511,967645,887911,1002560
WORLD,  Australia and New Zealand,1256202,1404924,622696,693842,633506,711082
WORLD,  Melanesia,229769,256021,109523,121526,120246,134495
WORLD,  Micronesia,41950,50998,20869,25179,21081,25819
WORLD,  Polynesia*,223501,258262,110423,127098,113078,131164
WORLD,   Burundi,459979,551105,227726,274913,232253,276192
WORLD,   Comoros,121749,150823,59176,73002,62573,77821
WORLD,   Djibouti,16969,18365,8659,9293,8310,9072
WORLD,   Eritrea,624757,802822,326403,422881,298354,379941
WORLD,   Ethiopia,842496,946129,451972,510262,390524,435867
WORLD,   Kenya,480647,535348,227217,252759,253430,282589
WORLD,   Madagascar,175868,193526,68219,74976,107649,118550
WORLD,   Malawi,297471,311052,172322,185426,125149,125626
WORLD,   Mauritius*,165869,182973,74559,82790,91310,100183
WORLD,   Mayotte*,6545,6767,3199,3305,3346,3462
WORLD,   Mozambique,596949,640160,348100,385940,248849,254220
WORLD,   Réunion*,2907,3064,1087,1189,1820,1875
WORLD,   Rwanda,503667,492489,247155,241187,256512,251302
WORLD,   Seychelles,27483,29258,11783,12624,15700,16634
WORLD,   Somalia,2008490,2034221,1040985,1064786,967505,969435
WORLD,   South Sudan,1060678,2575870,543822,1271104,516856,1304766
WORLD,   Uganda,786229,781440,375951,372735,410278,408705
WORLD,   United Republic of Tanzania*,294102,327863,145322,162475,148780,165388
WORLD,   Zambia,184371,200700,86165,93621,98206,107079
WORLD,   Zimbabwe,1167064,1243314,602124,641172,564940,602142
WORLD,   Angola,618288,668066,305926,334386,312362,333680
WORLD,   Cameroon,348974,441015,171870,219379,177104,221636
WORLD,   Central African Republic,686224,816668,348076,409486,338148,407182
WORLD,   Chad,191269,222303,104493,119894,86776,102409
WORLD,   Congo,204829,223767,102286,113453,102543,110314
WORLD,   Democratic Republic of the Congo,1572222,1832069,778269,916179,793953,915890
WORLD,   Equatorial Guinea,116947,128774,62959,68753,53988,60021
WORLD,   Gabon,43075,48392,20636,23205,22439,25187
WORLD,   Sao Tome and Principe,35162,39608,16246,18831,18916,20777
WORLD,   Algeria,1836502,2022337,985595,1085651,850907,936686
WORLD,   Egypt,3151069,3610461,2041623,2341886,1109446,1268575
WORLD,   Libya,152544,185518,81637,101126,70907,84392
WORLD,   Morocco,2971770,3262222,1575252,1707428,1396518,1554794
WORLD,   Sudan,1842602,2104887,1013988,1155684,828614,949203
WORLD,   Tunisia,774376,902268,434592,502404,339784,399864
WORLD,   Western Sahara,185885,194932,98132,102851,87753,92081
WORLD,   Botswana,55294,63561,32477,39730,22817,23831
WORLD,   Eswatini,46236,50039,22566,24339,23670,25700
WORLD,   Lesotho,191457,202164,86078,89567,105379,112597
WORLD,   Namibia,50410,47770,25042,23612,25368,24158
WORLD,   South Africa,786554,914901,379443,451638,407111,463263
WORLD,   Benin,634923,681827,341137,365338,293786,316489
WORLD,   Burkina Faso,1518568,1599347,848841,894339,669727,705008
WORLD,   Cabo Verde,171429,187558,76690,85032,94739,102526
WORLD,   Côte d'Ivoire,1056380,1149298,520911,571219,535469,578079
WORLD,   Gambia,96963,139210,60472,93414,36491,45796
WORLD,   Ghana,892253,1004324,466166,529432,426087,474892
WORLD,   Guinea,493411,550790,273042,312062,220369,238728
WORLD,   Guinea-Bissau,98151,111790,51546,60632,46605,51158
WORLD,   Liberia,205741,233564,102946,116235,102795,117329
WORLD,   Mali,1228544,1303511,696316,742057,532228,561454
WORLD,   Mauritania,114630,130226,71355,80059,43275,50167
WORLD,   Niger,374993,399707,221615,236316,153378,163391
WORLD,   Nigeria,1306526,1670455,682707,877687,623819,792768
WORLD,   Saint Helena*,4285,4885,1731,1981,2554,2904
WORLD,   Senegal,594507,693765,368123,430442,226384,263323
